model_type,metric_name,metric_value
dummy,accuracy,0.541254
dummy,brier_score,0.458746
dummy,f1,0.0
dummy,pr_auc,0.458746
dummy,precision,0.0
dummy,recall,0.0
dummy,roc_auc,0.5
hist_gradient_boosting,accuracy,0.80198
hist_gradient_boosting,brier_score,0.137718
hist_gradient_boosting,f1,0.776119
hist_gradient_boosting,pr_auc,0.872147
hist_gradient_boosting,precision,0.806202
hist_gradient_boosting,recall,0.748201
hist_gradient_boosting,roc_auc,0.887875
hist_gradient_boosting_calibrated,accuracy,0.808581
hist_gradient_boosting_calibrated,brier_score,0.137475
hist_gradient_boosting_calibrated,f1,0.781955
hist_gradient_boosting_calibrated,pr_auc,0.871342
hist_gradient_boosting_calibrated,precision,0.818898
hist_gradient_boosting_calibrated,recall,0.748201
hist_gradient_boosting_calibrated,roc_auc,0.885813
logistic_regression,accuracy,0.841584
logistic_regression,brier_score,0.118038
logistic_regression,f1,0.820896
logistic_regression,pr_auc,0.902429
logistic_regression,precision,0.852713
logistic_regression,recall,0.791367
logistic_regression,roc_auc,0.909458
logistic_regression_l1,accuracy,0.834983
logistic_regression_l1,brier_score,0.119177
logistic_regression_l1,f1,0.813433
logistic_regression_l1,pr_auc,0.898759
logistic_regression_l1,precision,0.844961
logistic_regression_l1,recall,0.784173
logistic_regression_l1,roc_auc,0.907528
random_forest,accuracy,0.831683
random_forest,brier_score,0.12388
random_forest,f1,0.813187
random_forest,pr_auc,0.896696
random_forest,precision,0.828358
random_forest,recall,0.798561
random_forest,roc_auc,0.907791
