model_type,threshold,accuracy,precision,recall,f1,true_positive,false_positive,true_negative,false_negative
logistic_regression,0.05,0.637,0.5592,0.9856,0.7135,137,108,56,2
logistic_regression,0.1,0.7096,0.6154,0.9784,0.7556,136,85,79,3
logistic_regression,0.15,0.7459,0.6535,0.9496,0.7742,132,70,94,7
logistic_regression,0.2,0.7822,0.6911,0.9496,0.8,132,59,105,7
logistic_regression,0.25,0.7954,0.7175,0.9137,0.8038,127,50,114,12
logistic_regression,0.3,0.7888,0.7219,0.8777,0.7922,122,47,117,17
logistic_regression,0.35,0.8086,0.7613,0.8489,0.8027,118,37,127,21
logistic_regression,0.4,0.8152,0.7902,0.8129,0.8014,113,30,134,26
logistic_regression,0.45,0.8416,0.8473,0.7986,0.8222,111,20,144,28
logistic_regression,0.5,0.8416,0.8527,0.7914,0.8209,110,19,145,29
logistic_regression,0.55,0.8449,0.8651,0.7842,0.8226,109,17,147,30
logistic_regression,0.6,0.8383,0.8814,0.7482,0.8093,104,14,150,35
logistic_regression,0.65,0.8416,0.9099,0.7266,0.808,101,10,154,38
logistic_regression,0.7,0.8185,0.9038,0.6763,0.7737,94,10,154,45
logistic_regression,0.75,0.8185,0.92,0.6619,0.7699,92,8,156,47
logistic_regression,0.8,0.7954,0.9231,0.6043,0.7304,84,7,157,55
logistic_regression,0.85,0.7855,0.9302,0.5755,0.7111,80,6,158,59
logistic_regression,0.9,0.7624,0.9351,0.518,0.6667,72,5,159,67
logistic_regression,0.95,0.7129,0.9483,0.3957,0.5584,55,3,161,84
