model_type,fold,metric_name,metric_value
dummy,1,accuracy,0.548387
dummy,2,accuracy,0.548387
dummy,3,accuracy,0.548387
dummy,4,accuracy,0.566667
dummy,5,accuracy,0.533333
dummy,6,accuracy,0.533333
dummy,7,accuracy,0.533333
dummy,8,accuracy,0.533333
dummy,9,accuracy,0.533333
dummy,10,accuracy,0.533333
dummy,1,brier_score,0.451613
dummy,2,brier_score,0.451613
dummy,3,brier_score,0.451613
dummy,4,brier_score,0.433333
dummy,5,brier_score,0.466667
dummy,6,brier_score,0.466667
dummy,7,brier_score,0.466667
dummy,8,brier_score,0.466667
dummy,9,brier_score,0.466667
dummy,10,brier_score,0.466667
dummy,1,f1,0.0
dummy,2,f1,0.0
dummy,3,f1,0.0
dummy,4,f1,0.0
dummy,5,f1,0.0
dummy,6,f1,0.0
dummy,7,f1,0.0
dummy,8,f1,0.0
dummy,9,f1,0.0
dummy,10,f1,0.0
dummy,1,pr_auc,0.451613
dummy,2,pr_auc,0.451613
dummy,3,pr_auc,0.451613
dummy,4,pr_auc,0.433333
dummy,5,pr_auc,0.466667
dummy,6,pr_auc,0.466667
dummy,7,pr_auc,0.466667
dummy,8,pr_auc,0.466667
dummy,9,pr_auc,0.466667
dummy,10,pr_auc,0.466667
dummy,1,precision,0.0
dummy,2,precision,0.0
dummy,3,precision,0.0
dummy,4,precision,0.0
dummy,5,precision,0.0
dummy,6,precision,0.0
dummy,7,precision,0.0
dummy,8,precision,0.0
dummy,9,precision,0.0
dummy,10,precision,0.0
dummy,1,recall,0.0
dummy,2,recall,0.0
dummy,3,recall,0.0
dummy,4,recall,0.0
dummy,5,recall,0.0
dummy,6,recall,0.0
dummy,7,recall,0.0
dummy,8,recall,0.0
dummy,9,recall,0.0
dummy,10,recall,0.0
dummy,1,roc_auc,0.5
dummy,2,roc_auc,0.5
dummy,3,roc_auc,0.5
dummy,4,roc_auc,0.5
dummy,5,roc_auc,0.5
dummy,6,roc_auc,0.5
dummy,7,roc_auc,0.5
dummy,8,roc_auc,0.5
dummy,9,roc_auc,0.5
dummy,10,roc_auc,0.5
hist_gradient_boosting,1,accuracy,0.870968
hist_gradient_boosting,2,accuracy,0.903226
hist_gradient_boosting,3,accuracy,0.741935
